job,major,subject_category,subject_details
가상현실전문가,컴퓨터과학과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제 연구"
가상현실전문가,컴퓨터과학과,전문교과Ⅱ,"디지털 논리 회로, 프로그래밍, 자료구조, 사물 인터넷 서비스 기획, 로봇 지능 개발"
고객관리시스템(CRM)전문가,컴퓨터과학과,공통과목,"수학, 과학, 기술ㆍ가정"
고객관리시스템(CRM)전문가,컴퓨터과학과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 과학교과 : 물리학Ⅰ, 화학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
고객관리시스템(CRM)전문가,컴퓨터과학과,진로선택과목,"실용수학, 기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 공학 일반"
고객관리시스템(CRM)전문가,컴퓨터과학과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제 연구"
고객관리시스템(CRM)전문가,컴퓨터과학과,전문교과Ⅱ,"디지털 논리 회로, 프로그래밍, 자료구조, 사물 인터넷 서비스 기획, 로봇 지능 개발"
네트워크엔지니어,컴퓨터과학과,공통과목,"수학, 과학, 기술ㆍ가정"
네트워크엔지니어,컴퓨터과학과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 과학교과 : 물리학Ⅰ, 화학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
네트워크엔지니어,컴퓨터과학과,진로선택과목,"실용수학, 기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 공학 일반"
네트워크엔지니어,컴퓨터과학과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제 연구"
네트워크엔지니어,컴퓨터과학과,전문교과Ⅱ,"디지털 논리 회로, 프로그래밍, 자료구조, 사물 인터넷 서비스 기획, 로봇 지능 개발"
베타테스터,컴퓨터과학과,공통과목,"수학, 과학, 기술ㆍ가정"
베타테스터,컴퓨터과학과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 과학교과 : 물리학Ⅰ, 화학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
베타테스터,컴퓨터과학과,진로선택과목,"실용수학, 기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 공학 일반"
베타테스터,컴퓨터과학과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제 연구"
베타테스터,컴퓨터과학과,전문교과Ⅱ,"디지털 논리 회로, 프로그래밍, 자료구조, 사물 인터넷 서비스 기획, 로봇 지능 개발"
컴퓨터하드웨어 기술자 및 연구원,컴퓨터과학과,공통과목,"수학, 과학, 기술ㆍ가정"
컴퓨터하드웨어 기술자 및 연구원,컴퓨터과학과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 과학교과 : 물리학Ⅰ, 화학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
컴퓨터하드웨어 기술자 및 연구원,컴퓨터과학과,진로선택과목,"실용수학, 기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 공학 일반"
컴퓨터하드웨어 기술자 및 연구원,컴퓨터과학과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제 연구"
컴퓨터하드웨어 기술자 및 연구원,컴퓨터과학과,전문교과Ⅱ,"디지털 논리 회로, 프로그래밍, 자료구조, 사물 인터넷 서비스 기획, 로봇 지능 개발"
통신망설계운영기술자,컴퓨터과학과,공통과목,"수학, 과학, 기술ㆍ가정"
통신망설계운영기술자,컴퓨터과학과,일반선택과목,"수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계, 과학교과 : 물리학Ⅰ, 화학Ⅰ, 기술ㆍ가정교과 : 기술ㆍ가정, 정보"
통신망설계운영기술자,컴퓨터과학과,진로선택과목,"실용수학, 기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 공학 일반"
통신망설계운영기술자,컴퓨터과학과,전문교과Ⅰ,"심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제 연구"
통신망설계운영기술자,컴퓨터과학과,전문교과Ⅱ,"디지털 논리 회로, 프로그래밍, 자료구조, 사물 인터넷 서비스 기획, 로봇 지능 개발"
가상현실전문가,컴퓨터디자인학과,공통과목,"미술, 윤리"
가상현실전문가,컴퓨터디자인학과,일반선택과목,"예술교과 : 미술, 사회교과 : 생활과 윤리, 윤리와 사상, 교양교과 : 철학, 심리학, 교육학"
가상현실전문가,컴퓨터디자인학과,진로선택과목,"미술 창작, 미술 감상과 비평"
가상현실전문가,컴퓨터디자인학과,전문교과Ⅰ,"미술 이론, 미술사, 드로잉, 미술 전공 실기"
가상현실전문가,컴퓨터디자인학과,전문교과Ⅱ,"디자인 일반, 시각 디자인, 색채 관리"
광고디자이너,컴퓨터디자인학과,공통과목,"미술, 윤리"
광고디자이너,컴퓨터디자인학과,일반선택과목,"예술교과 : 미술, 사회교과 : 생활과 윤리, 윤리와 사상, 교양교과 : 철학, 심리학, 교육학"
광고디자이너,컴퓨터디자인학과,진로선택과목,"미술 창작, 미술 감상과 비평"
광고디자이너,컴퓨터디자인학과,전문교과Ⅰ,"미술 이론, 미술사, 드로잉, 미술 전공 실기"
광고디자이너,컴퓨터디자인학과,전문교과Ⅱ,"디자인 일반, 시각 디자인, 색채 관리"
북디자이너,컴퓨터디자인학과,공통과목,"미술, 윤리"
북디자이너,컴퓨터디자인학과,일반선택과목,"예술교과 : 미술, 사회교과 : 생활과 윤리, 윤리와 사상, 교양교과 : 철학, 심리학, 교육학"
북디자이너,컴퓨터디자인학과,진로선택과목,"미술 창작, 미술 감상과 비평"
북디자이너,컴퓨터디자인학과,전문교과Ⅰ,"미술 이론, 미술사, 드로잉, 미술 전공 실기"
북디자이너,컴퓨터디자인학과,전문교과Ⅱ,"디자인 일반, 시각 디자인, 색채 관리"
시각디자이너,컴퓨터디자인학과,공통과목,"미술, 윤리"
시각디자이너,컴퓨터디자인학과,일반선택과목,"예술교과 : 미술, 사회교과 : 생활과 윤리, 윤리와 사상, 교양교과 : 철학, 심리학, 교육학"
시각디자이너,컴퓨터디자인학과,진로선택과목,"미술 창작, 미술 감상과 비평"
시각디자이너,컴퓨터디자인학과,전문교과Ⅰ,"미술 이론, 미술사, 드로잉, 미술 전공 실기"
시각디자이너,컴퓨터디자인학과,전문교과Ⅱ,"디자인 일반, 시각 디자인, 색채 관리"
일러스트레이터,컴퓨터디자인학과,공통과목,"미술, 윤리"
일러스트레이터,컴퓨터디자인학과,일반선택과목,"예술교과 : 미술, 사회교과 : 생활과 윤리, 윤리와 사상, 교양교과 : 철학, 심리학, 교육학"
일러스트레이터,컴퓨터디자인학과,진로선택과목,"미술 창작, 미술 감상과 비평"
일러스트레이터,컴퓨터디자인학과,전문교과Ⅰ,"미술 이론, 미술사, 드로잉, 미술 전공 실기"
일러스트레이터,컴퓨터디자인학과,전문교과Ⅱ,"디자인 일반, 시각 디자인, 색채 관리"
컴퓨터그래픽디자이너,컴퓨터디자인학과,공통과목,"미술, 윤리"
